yrbp,co2
687240,228.7
687483,228.8
687962,232.3
688208,233
688665,235.8
688894,234.9
689317,235.8
689616,239.9
690070,235.6
690307,234.8
690784,240
691012,234
691445,235.6
691685,236.6
692070,235.5
692351,235.9
692778,232.9
693003,234.8
693446,234.1
693652,234.1
694081,235.4
694313,234.4
694685,235.8
694954,236.9
695396,236.7
695631,237.6
696075,234.6
696300,234.8
696730,235.4
696976,232.9
697344,232.4
697673,232.2
698133,231
698399,228
698893,226.4
699115,227.7
699646,227.6
699922,226
700402,228.7
700757,227.6
701255,228.2
701619,228.8
702171,229.3
702394,230.3
703001,232.4
703397,232.8
703947,231.2
704224,231.2
704986,233.9
705423,228.5
706154,228.6
706422,228.1
709693,219.7
710250,220.2
711117,218.9
711434,218.7
712846,218.5
713856,222.3
714301,221.7
715193,217.7
715763,222.1
716717,208.1
717078,205
718077,192.9
718792,184.3
719807,187.8
720350,195.2
721331,206.3
722052,211.3
723146,213.4
723477,213.2
724458,210.3
725072,206.3
725950,206.6
726335,208.1
727205,204.5
727745,205.5
728581,205.1
728934,205.4
730312,204
730962,204.1
731342,204.9
732154,203.8
732561,205.9
733274,203.9
733556,204.4
734236,205.3
734617,207.4
735180,201.7
735472,201.3
736092,204.1
736473,209.7
737047,208.1
737279,211.3
737902,210.6
738285,206.5
738857,200.3
739150,197.8
739855,185
740290,178.9
741034,178.6
741320,176.6
742088,177.9
742571,182.3
743246,181.7
743602,180.4
744367,181.2
744856,182
745849,180.2
746656,183.1
747123,180.8
747772,180.8
748114,180.4
748926,181.4
749414,182.9
750207,184.8
750489,184
751314,186.2
751843,190.1
752618,188
752991,196.5
753997,191.5
754407,195.8
755254,200.5
755508,201.9
756370,206
756884,210.7
757574,215
757975,219.2
758272,215.3
758488,217.6
758896,217.9
759319,214.9
760215,208.8
760513,206.9
761466,206.1
762077,212
762884,216
763332,215
763699,225.7
763947,221.4
764262,224.1
764846,222.6
765748,216.8
766123,215.7
767109,213.5
767750,217.7
768668,222.4
769063,221.4
769527,228.1
769800,226
770146,231.5
770460,235.6
770737,238.2
771007,235.6
771273,237.7
771721,229.5
772089,230.9
773056,230
773693,233.3
774561,236.9
775064,240.5
776050,238.8
776649,243.9
777569,246.3
777913,246.1
778811,245.8
779377,243.9
780281,248.5
780625,242.8
781548,248.7
782072,246.2
783276,252.1
784160,246.9
784705,250.7
785426,253.3
785802,255.4
786600,260.3
787089,256.9
787818,248.1
788046,247.9
788900,229.5
789394,226.3
790166,218.2
790551,221.3
791504,215.4
792094,205.1
792956,204
793273,209
794621,199.4
795215,195.2
796480,189.3
797112,188.4
798525,191
